a	c
epiphany	i'pifəni
epiphenomena	,epifi'nɔminən
epiphenomenon	,epifi'nɔminən
epiphyllous	,epi'filəs
epiphyllum	,epi'filəm
epiphysis	e'pifisis
epiphyte	e'pifait
epiphytic	,epi'fitik
episcopacy	i'piskəpəsi
episcopal	i'piskəpəl
episcopalian	i,piskə'peiljən
episcopate	i,piskəpit
episcope	,episkoup
episode	,episoud
episodically	,epi'sɔdikəli
epispastic	,epi'spæstik
epistle	i'pisl
epistolarian	i,pistə'leəriən
epistolary	i'pistələri
epistoler	i'pistələ
epistrophe	i'pistrəfi
epistyle	'ɑ:kitreiv
epitaph	'epitɑ:f
epithalamia	,epiθə'leimjəm
epithalamial	,epiθə'leimjəl
epithalamic	,epiθə'leimjəl
epithalamium	,epiθə'leimjəm
epithelial	,epi'θ:ljəl
epithelium	,epi'θ:ljəm
epithet	'epiθet
epithetic	,epi'θetik
epithetical	,epi'θetik
epitome	i'pitəmi
epitomise	i'pitəmaiz
epitomist	i'pitəmist
epitomize	i'pitəmaiz
epizoa	,epi'zouɔn
epizoic	,epi'zouik
epizoon	,epi'zouɔn
epizootic	,epizou'ɔtik
epizooty	,epi'zouəti
epoch	'i:pɔk
epochal	'i:pɔk,meikiɳ
epode	'epoud
eponyme	'epounim
eponymous	i'pɔniməs
epopee	'epik
epos	'epɔs
epsilon	ep'sailən
equability	,ekwə'biliti
equable	'ekwəbl
equal	'i:kwəl
equalise	'i:kwəlaiz
equalitarian	i,kwɔli'teəriən
equalitarianism	i,kwɔli'teəriənizm
equality	i:kwɔliti
equalization	,i:kwəlai'zeiʃn
equalize	'i:kwəlaiz
equalizer	'i:kwəlaizə
equanimity	'i:kwə'nimiti
equate	i'kweit
equation	i'kweiʃn
equatorial	,ekwə'tɔ:riəl
equerry	i'kweri
equestrian	i,kwestriən
equestrienne	i,kwestri'en
equiangular	,i:kwi'æɳgjulə
equidae	'ikwi:di:
equidistant	'i:kwi'distənt
equilateral	'i:kwi'lætərəl
equilibrate	,i:kwi'laibreit
equilibration	,i:kwilai'breiʃn
equilibratory	,i:kwi'laibrətəri
equilibrist	,i:kwilibrist
equimolecular	,i:kwimou'lekjulə
equimultiple	'i:kwi'mʌltipl
equine	i'kweiʃn
equinoctial	i'kweiʃn
equinox	'i:kwinɔks
equip	i'kwip
equipage	'ekwipidʤ
equipment	i'kwipmənt
equipoise	'ekwipɔiz
equipollence	,i:kwi'pɔləns
equipollency	,i:kwi'pɔləns
equipollent	,i:kwi'pɔlənt
equiponderance	,i:kwi'pɔndərənsi
equiponderancy	,i:kwi'pɔndərənsi
equiponderant	,i:kwi'pɔndərənt
equiponderate	,i:kwi'pɔndəreit
equipontential	,i:kwipə'tenʃəl
equisetum	,ekwi'si:təm
equitableness	'ekwitəblnis
equitant	'ekwitənt
equitation	,ekwi'teiʃn
equity	'ekwiti
equivalence	i'kwivələns
equivalency	i'kwivələns
equivalent	i'kwivələnt
equivocal	i'kwivəkəl
equivocality	i,kwivə'kæliti
equivocalness	i,kwivə'kæliti
equivocate	i'kwivəkeit
equivocation	i,kwivə'keiʃn
equivocator	i'kwivəkeitə
equivoke	'ekwivouk
equivoque	'ekwivouk
er	ə:
era	'iərə
eradiate	i'reidieit
eradiation	i,reidi'eiʃn
eradicable	i'rædikəbl
eradicate	i'rædikeit
eradication	i,rædi'keiʃn
erasable	i'reizəbl
erase	i'reiz
erasement	i'reizmənt
erbium	'ə:biəm
ere	eə
erect	i'rekt
erectile	i'rektail
erectility	,i:rek'tiliti
erection	i'rekʃn
erectness	i'rektnis
erector	i'rektə
eremite	'erimait
eremitic	,eri'mitik
eremitical	,eri'mitik
erethism	'eriθizm
erg	ə:g
ergatocracy	,ə:gə'tɔkrəsi
ergo	'ə:gou
ergon	ə:g
ergot	'ə:gət
ergotine	'ə:gətain
ergotism	'ə:gətizm
ericaceous	,eri'keiʃəs
erigeron	i'ridʤərən
eristic	ə'ristik
ermine	'ə:min
erne	ə:n
ernie	ə:ni
erode	i'roud
eroded	i'roudid
erodent	i'roudənt
eros	'erɔs
erosion	i'rouʤn
erosive	i'rousiv
erotamania	i,rɔtə'meinjə
erotic	i'rɔtik
erotica	i'rɔtikə
eroticism	e'rɔtisizm
erotism	'erətizm
err	ə:
errancy	'erənsi
errand	'erənd
errant	'erənt
errantry	'erəntri
errata	e'rɑ:təm
erratic	i'rætik
erratically	i'rætikəli
erratum	e'rɑ:təm
errhine	'erin
erroneous	i'rounjəs
erroneousness	i'rounjəsnis
error	'erə
errorless	'erəlis
ersatz	'eəzæts
erst	ə:st
erstwhile	ə:st
erubescent	,eru:'besnt
eruct	i'rʌkt
eructate	i'rʌkt
eructation	,i:rʌk'teiʃn
erudite	'eru:dait
erudition	,eru:'diʃn
erupt	i'rʌpt
eruption	i'rʌpʃn
eruptional	i'rʌpʃənl
eruptive	i'rʌptiv
eruptiveness	i'rʌptivnis
eruptivity	i'rʌptivnis
erysipelas	,eri'sipiləs
erysipelatous	,eri'sipilətəs
erythema	,eri'θi:mə
escadrille	,eskə'dril
escalade	,eskə'leid
escalate	,eskəleit
escalation	,eskə'leiʃn
escalator	'eskəleitə
escallop	'skɔləp
escapade	,eskə'peid
escape	is'keip
escapee	,eskə'pi:
escapement	is'keipmənt
escapism	is'keipizm
escapist	is'keipist
escarp	is'kɑ:p
escarpment	is'kɑ:pmənt
eschalot	ʃə'lɔt
eschar	'eskɑ:
eschatological	,eskətə'lɔdʤikəl
eschatology	,eskə'tɔlədʤi
escheat	is'tʃi:t
eschew	is'tʃu:
eschscholtzia	is'kɔlʃə
esclandre	es'klỴ:ndr
escribed	əs'kraibd
escritoire	,eskri:'twɑ:
escrow	es'krou
escucheon	is'kʌtʃən
escudo	es'ku:dou
esculent	'eskjulənt
eskimo	'eskimou
esophagus	i:'sɔfəgəs
esoteric	,esou'terik
esoterical	,esou'terik
espalier	es'pæljə
esparto	es'pɑ:tou
especial	is'peʃəl
especially	is'peʃəli
esperanto	,espə'ræntou
espial	is'paiəl
espianage	,espiə'nɑ:ʤ
esplanade	,esplə'neid
espousal	is'pauzəl
espouse	is'pauz
espouser	is'pauzə
espressivo	,espe'si:vou
espresso	es'presou
esprit	'espri:
espy	is'pai
esq	is'kwaiə
esquimau	'eskimou
esquimaux	'eskimou
esquire	is'kwaiə
essay	'esei
essayist	'eseiist
esse	'esi
essence	'esns
essenced	'esənst
essential	i'senʃəl
establish	is'tæbliʃ
established	is'tæbliʃt
establishment	is'tæbliʃmənt
establishmentarian	is,tæbliʃmən'treəriən
estate	is'teit
esteem	is'ti:m
ester	'estə
estimable	'estiməbl
estimation	,esti'meiʃn
estimative	'estimətiv
estimator	'estimetiə
estop	is'tɔp
estoppage	is'tɔpidʤ
estoppel	is'tɔpəl
estovers	es'touvəz
estrade	es'trɑ:d
estrange	is'treindʤ
estrangement	is'treindʤmənt
estray	is'trei
estreat	is'tri:t
estuarine	'estjuərain
estuary	'estjuəri
esurience	i'sjuəriəns
esuriency	i'sjuəriəns
esurient	i'sjuəriənt
eta	'i:tə
etacism	'eitəsiʤm
etcetera	it'setrə
etch	etʃ
etcher	'etʃə
etching	'etʃiɳ
eternal	i:'tə:nl
eternalise	i:'tə:naiz
eternality	,i:tə:'næiti
eternalize	i:'tə:naiz
eternally	i:'tə:nəli
eternise	i:'tə:naiz
eternity	i:'tə:niti
eternize	i:'tə:naiz
ethane	'eθein
ether	'i:θə
ethereal	i:'θiəriəl
ethereality	i:,θiəri'æliti
etherealization	i:,θiəriəlai'zeiʃ
etherealize	i:'θiəriəlaiz
ethereally	i:'θiəriəli
etherial	i:'θiəriəl
etherification	i:,θerifi'keiʃn
etherify	i:'θerifai
etherise	'i:θəraiz
etherism	'i:θərizm
etherization	,i:θərai'zeiʃn
etherize	'i:θəraiz
ethic	'eθik
ethical	'eθik
ethically	'eθikəli
ethicize	'eθisaiz
ethics	'eθiks
ethiopian	,i:θi'oupjən
ethiopianism	,i:θi'oupjənizm
ethmoid	'eθmɔid
ethnarch	'etnɑ:k
ethnic	'eθnik
ethnical	'eθnik
ethnicalism	'eθnikəlizm
ethnically	'eθnikəli
ethnocentric	,eθnou'sentrik
ethnocentrism	,eθnou'sentrizm
ethnographer	eθ'nɔgrəfə
ethnographic	,eθnou'græfik
ethnographical	,eθnou'græfik
ethnography	eθ'nɔgrəfi
ethnologic	,eθnou'lɔdʤik
ethnological	,eθnou'lɔdʤik
ethnologist	eθ'nɔlədʤist
ethnology	eθ'nɔlədʤi
ethological	,i:θou'lɔdʤikəl
ethology	i:'θɔlədʤi
ethos	'i:θɔs
ethyl	'eθil
ethylamine	'eθiləmin
ethylene	'eθili:n
ethylic	'eθilik
etiolate	'i:tiouleit
etiolation	,i:tiou'leiʃn
etiology	,i:ti'ɔlədʤi
etiquette	,eti'ket
etna	'etnə
etui	e'twi:
etwee	e'twi:
etymologer	,eti'mɔlədʤə
etymologic	,etimə'lɔdʤik
etymological	,etimə'lɔdʤik
etymologise	,eti'mɔlədʤaiz
etymologize	,eti'mɔlədʤaiz
etymology	,eti'mɔlədʤi
etymon	'etimɔn
eucalypti	,ju:kə'liptəs
eucalyptus	,ju:kə'liptəs
eucharis	'ju:kəris
eucharist	'ju:kərist
eucharistic	,ju:kə'ristik
eucharistical	,ju:kə'ristik
euchre	'ju:kə
euclid	'ju:klid
euclidean	'ju:klidiən
eudaemonism	ju:'di:mənizm
eudaemonist	ju:'di:mənist
eudemonism	ju:'di:mənizm
eudemonist	ju:'di:mənist
eudiometer	,ju:di'ɔmitə
eudiometric	,ju:diə'metrik
eudiometrical	,ju:diə'metrik
eudiometry	,ju:di'ɔmitri
eugenic	ju:'dʤenik
eugenics	ju:'dʤeniks
eugenist	'ju:dʤinist
euhemerise	ju:'hi:məraiz
euhemerism	ju:'hi:mərizm
euhemerist	ju:'hi:mərist
euhemerize	ju:'hi:məraiz
eulogise	'ju:lədʤaiz
eulogist	'ju:lədʤist
eulogistic	,ju:lə'dʤistik
eulogistical	,ju:lə'dʤistik
eulogize	'ju:lədʤaiz
eulogy	'ju:lədʤi
eunuch	'ju:nək
eupepsia	ju:'pepsiə
eupepsy	ju:'pepsiə
eupeptic	ju:'peptik
euphemism	ju:'fimizm
euphemistic	,ju:fi'mistik
euphemistical	,ju:fi'mistik
euphemize	,ju:fimaiz
euphonic	ju:'fɔnik
euphonical	ju:'fɔnik
euphonious	ju:'fɔnik
euphonise	'ju:fənaiz
euphonium	ju:'founjəm
euphonize	'ju:fənaiz
euphony	'ju:fəni
euphorbia	ju:'fɔ:biə
euphorbiaceous	ju:,fɔ:bi'eiʃəs
euphoria	ju:'fɔ:biə
euphoric	ju:'fɔrik
euphory	ju:'fɔ:biə
euphuism	'ju:fju:izm
euphuist	'ju:fju:ist
euphuistic	,ju:fju'istik
eurasian	juə'reiʤjən
eureka	juə'ri:kə
eurhythmic	ju:'riðmik
eurhythmics	ju:'riðmiks
european	,juərə'pi:ən
europeanise	,juərə'pi:ənaiz
europeanism	,juərə'pi:ənizm
europeanization	'juərə,pi:ənai'zeiʃn
europeanize	,juərə'pi:ənaiz
europium	ju:'roupiəm
eurovision	,juərou'viʤn
eusol	'ju:sɔl
eutectic	ju:'tektik
euthanasia	,ju:θə'neizjə
eutheria	ju:'θi:əriə
evacuate	i'vækjueit
evacuation	i,vækju'eiʃn
evacuee	i,vækju'i:
evadable	i'veidəbl
evade	i'veid
evaginate	i'vædʤineit
evagination	i'vædʤi'neiʃn
evaluate	i'væljueit
evaluation	i,vælju'eiʃn
evanesce	,i:və'nes
evanescence	,i:və'nesns
evanescent	,i:və'nesnt
evangel	i'vændʤəl
evangelic	,i:væn'dʤelik
evangelical	,i:væn'dʤelik
evangelicalism	,i:væn'dʤelikəlizm
evangelise	i'vændʤilaiz
evangelism	i'vændʤəlizm
evangelist	i,vændʤilist
evangelization	i,vændʤilai'zeiʃn
evangelize	i'vændʤilaiz
evanish	i'væniʃ
evanishment	i'væniʃmənt
evaporability	i,væpərə'biliti
evaporable	i'væpərəbl
evaporate	i'væpəreit
evaporation	i,væpə'reiʃn
evaporative	i'væpərətiv
evaporator	i'væpəreitə
evaporimeter	i,væpə'rimitə
evasion	i'veiʤn
evasive	i'veisiv
evasiveness	i'veisivnis
eve	i:v
even	'i:vən
evenfall	'i:vənfɔ:l
evening	i':vniɳ
evenly	'i:vənli
evenness	'i:vənnis
evensong	'i:vənsɔɳ
event	i'vent
eventful	i'ventful
eventide	'i:vəntaid
eventual	i'ventjuəl
eventuality	i,ventju'æliti
eventually	i'ventjuəli
eventuate	i'ventjueit
ever	'evə
everglade	'evəgleid
evergreen	'evəgri:n
everlasting	,evə'lɑ:stiɳ
everlastingness	,evə'lɑ:stiɳnis
everliving	,evə'liviɳ
evermore	,evə'mɔ:
eversible	i'və:sibl
eversion	i'və:ʃn
evert	i'və:t
every	'evri
everybody	'evribɔdi
everyday	'evridei
everyman	'evrimæn
everyone	'evribɔdi
everything	'evriθiɳ
everywhere	'evriweə
evict	i:'vikt
eviction	i:'vikʃn
evictor	i:'viktə
evidence	'evidəns
evident	'evidənt
evidential	,evi'denʃəl
evil	'i:vl
evince	i'vins
evincible	i'vinsəbl
evincive	i'vinsiv
evirate	'i:vireit
eviration	,evi'reiʃn
eviscerate	i'visəreit
evisceration	i,visə'reiʃn
evocation	i,visə'reiʃn
evocative	i'vɔkətiv
evocativeness	i'vɔkətivnis
evocatory	i'vɔkətəri
evoke	i'vouk
evolute	'i:vəlu:t
evolution	,i:və'lu:ʃn
evolutional	,i:və'lu:ʃənl
evolutionary	,i:və'lu:ʃnəri
evolutionism	,i:və'lu:ʃənizm
evolutionist	,i:və'lu:ʃənist
evolutive	'i:vəlu:tiv
evolve	i'vɔlv
evolvement	i'vɔlvmənt
evulsion	i'vʌlʃn
ewe	'ju:ə
ewer	'ju:ə
ex	eks
exacerbate	eks'æsə:beit
exacerbation	eks,æsə:'beiʃn
exact	ig'zækt
exactable	ig'zæktəbl
exacting	ig'zæktiɳ
exactitude	ig'zæktitju:d
exactly	ig'zæktli
exactness	ig'zæktitju:d
exactor	ig'zæktə
exaggerate	ig'zædʤəreit
exaggerative	ig'zædʤərətiv
exaggerator	ig'zædʤəreitə
exalt	ig'zɔ:lt
exaltation	,egzɔ:l'teiʃn
exam	ig'zæm
examen	eg'zeimen
examinant	ig'zæminənt
examination	ig,zæmi'neiʃn
examine	ig'zæmin
examinee	ig,zæmi'ni:
examiner	ig'zæminə
example	ig'zɑ:mpl
exanimate	ig'zænimit
exanthema	,eksæn'θi:mə
exanthemata	,eksæn'θi:mə
exanthematous	,eksæn'θi:mətəs
exarch	'eksɑ:k
exasperate	ig'zɑ:spəreit
exasperating	ig'zɑ:spəreitiɳ
excavate	'ekskəveit
excavation	,ekskə'veiʃn
excavator	'ekskəveitə
exceed	ik'si:d
exceeding	ik'si:diɳ
excel	ik'sel
excellence	'eksələns
excellency	'eksələnsi
excellent	'eksələnt
excelsior	ek'selsiɔ:
except	ik'sept
excepting	ik'septiɳ
exception	ik'sepʃn
exceptionable	ik'sepʃnəbl
exceptional	ik'sepʃənl
exceptionality	ik,sepʃə'næliti
exceptive	ik'septiv
excerpt	'eksə:pt
excerptible	ek'sə:ptəbl
excerption	ek'sə:pʃn
excess	ik'ses
excessive	ik'sesiv
excessiveness	ik'sesivnis
exchange	iks'tʃeindʤ
exchangeability	iks,tʃeindʤə'biliti
exchangeable	iks'tʃeindʤəbl
exchequer	iks'tʃekə
excisable	ek'saizəbl
excise	ek'saiz
excision	ek'siʤn
excitant	'eksitənt
excitation	,eksi'teiʃn
excitative	ek'saitətiv
excitatory	ek'saitətiv
excite	ik'sait
excited	ik'saitid
excitement	ik'saitmənt
exciter	ik'saitə
exciting	ik'saitiɳ
exclaim	iks'kleim
exclamation	,eksklə'meiʃn
exclamative	eks'klæmətəri
exclamatively	eks'klæmətərili
exclamatorily	eks'klæmətərili
exclamatory	eks'klæmətəri
exclave	'ekskleiv
exclude	iks'klu:d
exclusion	iks'klu:ʤn
exclusive	iks'klu:siv
exclusiveness	iks'klu:sivnis
exclusivism	iks'klu:sivizm
excogitate	eks'kɔdʤiteit
excogitation	eks,kɔdʤi'teiʃn
excogitative	eks'kɔdʤiteitiv
excommunicate	,ekskə'mju:nikit
excommunication	'ekskə,mju:ni'keiʃn
excoriate	eks'kɔ:rieit
excoriation	eks,kɔ:ri'eiʃn
excrement	'ekskrimənt
excremental	,ekskri'mentl
excrementitious	,ekskri'mentl
excrescence	iks'kresns
excrescent	iks'kresnt
excrescential	,ekskri'senʃəl
excreta	eks'kri:tə
excrete	eks'kri:t
excretive	eks'kri:tiv
excruciate	iks'kru:ʃieit
excrutiating	iks'kru:ʃieitiɳ
exculpate	'ekskʌlpeit
exculpation	,ekskʌl'peiʃn
exculpatory	'ekskʌlpətəri
excurrent	'eksʌrənt
excursable	iks'kju:zəbl
excursableness	iks'kju:zəblnis
excursatory	eks'kju:zətəri
excurse	iks'kə:s
excursion	iks'kə:ʃn
excursional	iks'kə:ʃənl
excursionist	iks'kə:ʃnist
excursive	eks'kə:siv
excursiveness	eks'kə:sivnis
excursus	eks'kə:səs
excuse	iks'kju:z
exeat	'eksiæt
execrable	'eksikrəbl
execrate	'eksikreit
execration	,eksi'kreiʃn
execrative	'eksikreitiv
execratory	'eksikreitəri
executable	'eksikju:təbl
executant	ig'zekjutənt
execute	'eksikju:t
execution	,eksi'kju:ʃn
executioner	,eksi'kju:ʃnə
executive	ig'zekjutiv
executor	ig'zekjutə
executorial	ig,zekju'tɔ:riəl
executorship	ig'zekjutəʃip
executory	ig,zekju'tɔ:riəl
executrices	ig'zekjutriks
executrix	ig'zekjutriks
exegesis	,eksi'dʤi:sis
exegetic	,eksi'dʤetik
exegetical	,eksi'dʤetik
exegetist	,eksi'dʤetist
exemplar	ig'zemplə
exemplariness	ig'zemplərinis
exemplary	ig'zempləri
exemplification	ig,zemplifi'keiʃn
exemplify	ig'zemplifai
exempt	ig'zempt
exemption	ig'zempʃn
exenterate	ek'sentəreit
exenteration	ek,sentə'reiʃn
exequatur	,eksə'kweitə
exequies	'eksikwiz
exercisable	'eksəsaizəbl
exercise	'eksəsaiz
exercitation	eg,zə:si'teiʃn
exergure	ek'sə:g
exert	ig'zə:t
exertion	ig'zə:ʃn
exes	'eksiz
exeunt	'eksiʌnt
exfoliate	eks'foulieit
exfoliation	eks,fouli'eiʃn
exhalation	,ekshə'leiʃn
exhale	eks'heil
exhaust	ig'zɔ:st
exhausted	ig'zɔ:stid
exhauster	ig'zɔ:stə
exhaustibility	ig,zɔ:sti'biliti
exhaustible	ig'zɔ:stəbl
exhausting	ig'zɔ:stiɳ
exhaustion	ig'zɔ:stʃn
exhaustive	ig'zɔ:stiv
exhaustiveness	ig'zɔ:stivnis
exhibit	ig'zibit
exhibition	,eksi'biʃn
exhibitionism	,eksi'biʃnizm
exhibitive	ig'zibitiv
exhibitor	ig'zibitə
exhibitory	ig'zibitəri
exhilarant	ig'zilərənt
exhilarate	ig'ziləreit
exhilarating	ig'zilərənt
exhilaration	ig,zilə'reiʃn
exhilarative	ig'zilərənt
exhort	ig'zɔ:t
exhortation	,egzɔ:'teiʃn
exhortative	ig'zɔ:tətiv
exhortatory	ig'zɔ:tətiv
exhumation	,ekshju:'meiʃn
exhume	eks'hju:m
exigence	'eksidʤəns
exigency	'eksidʤəns
exigent	'eksidʤənt
exigible	'eksidʤibl
exiguity	,eksi'gju:iti
exiguous	eg'zigjuəs
exiguousness	,eksi'gju:iti
exile	'eksail
exility	eg'ziliti
exist	ig'zist
existence	ig'zistəns
existent	ig'zistənt
existential	,egzis'tenʃəl
existentialism	,egzis'tenʃəlizm
existentialist	,egzis'tenʃəlist
exit	'eksit
exitability	ik,saitə'biliti
exitable	ik'saitəbl
exocarp	'epikɑ:p
exocrine	'eksəkrain
exoderm	'eksədə:m
exodus	'eksədəs
exogamous	ek'sɔgəməs
exogamy	ek'sɔgəmi
exogenous	ek'sɔdʤinəs
exon	'eksɔn
exonerate	ig'zɔnəreit
exoneration	ig,zɔnə'reiʃn
exonerative	ig'zɔnərətiv
exophthalmia	,eksɔf'θælməs
exophthalmic	,eksɔf'θælmik
exophthalmus	,eksɔf'θælməs
exoplasm	'eksouplæzm
exorable	'eksərəbl
exorbitance	ig'zɔ:bitəns
exorbitancy	ig'zɔ:bitəns
exorbitant	ig'zɔ:bitənt
exorcism	'eksɔ:sizm
exorcist	'eksɔ:sist
exorcize	'eksɔ:saiz
exordia	ek'sɔ:djəm
exordial	ek'sɔ:djəl
exordium	ek'sɔ:djəm
exorpore	'eksouspɔ:
exoskeleton	,eksou'skelitn
exosmosis	,eksɔz'mousis
exoteric	,eksou'terik
exoterical	,eksou'terikəl
exoterics	,eksou'teriks
exothermal	,eksou'θə:məl
exothermic	,eksou'θə:məl
exotic	eg'zɔtik
expand	iks'pænd
expanse	iks'pæns
expansibility	iks,pænsə'biliti
expansible	iks'pænsəbl
expansile	iks'pænsail
expansion	iks'pænʃn
expansionism	iks'pænʃənizm
expansionist	iks'pænʃənist
expansive	iks'pænsiv
expansiveness	iks'pænsivnis
expansivity	iks'pænsivnis
expatiate	eks'peiʃieit
expatiation	eks,peiʃi'eiʃn
expatiatory	eks'peiʃjətəri
expatriation	eks,pætri'eiʃn
expect	iks'pekt
expectance	iks'pektəns
expectancy	iks'pektəns
expectant	iks'pektənt
expectation	,ekspek'teiʃn
expectative	iks'pektətiv
expectorant	eks'pektərənt
expectorate	eks'pektəreit
expectoration	eks,pektə'reiʃn
expedience	iks'pi:djəns
expediency	iks'pi:djəns
expedient	iks'pi:djənt
expediential	iks'pi:djənt
expedite	'ekspidait
expedition	,ekspi'diʃn
expeditionary	,ekspi'diʃnəri
expeditionist	,ekspi'diʃnist
expel	iks'pel
expellable	iks'peləbl
expellee	,ekspe'li:
expellent	iks'pelənt
expend	iks'pend
expendable	iks'pendəbl
expenditure	iks'penditʃə
expense	iks'pens
expensive	iks'pensiv
expensiveness	iks'pensivnis
experience	iks'piəriəns
experienced	iks'piəriənst
experiential	iks,piəri'enʃəl
experientialism	iks,piəri'enʃəlizm
experientialist	iks,piəri'enʃəlist
experimental	eks,peri'mentl
experimentalism	eks,peri'mentəlizm
experimentalist	eks,peri'mentəlist
experimentally	eks,peri'mentəli
experimentation	eks,perimen'təli
experimenter	eks'perimentə
expert	'ekspə:t
expertise	,ekspə'ti:z
expertness	'ekspə:tnis
expiable	'ekspiəbl
expiate	'ekspieit
expiation	,ekspi'eiʃn
expiator	'ekspieitə
expiatory	'ekspiətəri
expiration	,ekspaiə'reiʃn
expiratory	iks'paiərətəri
expire	iks'paiə
expiry	expiry
expiscate	iks'piskeit
explain	iks'plein
explainable	iks'pleinəbl
explainer	iks'pleinə
explanation	,eksplə'neiʃn
explanatory	iks'plænətəri
expletive	eks'pli:tiv
explicable	'eksplikəbl
explicate	'eksplikeit
explicative	eks'plikətiv
explicatory	eks'plikətiv
explicit	iks'plisit
explicitness	iks'plisitnis
explode	iks'ploud
exploded	iks'ploudid
exploit	'eksplɔit
exploitable	iks'plɔitəbl
exploitage	iks'plɔitidʤ
exploitation	iks'plɔitidʤ
exploiter	iks'plɔitə
exploration	,eksplɔ:'reiʃn
explorative	eks'plɔ:rətiv
exploratory	eks'plɔ:rətiv
explore	iks'plɔ:
explorer	iks'plɔ:rə
explosion	iks'plouʤn
explosive	iks'plousiv
explosiveness	iks'plousivnis
exponent	eks'pounənt
exponential	,ekspou'nenʃəl
export	'ekspɔ:t
exportable	'ekspɔ:təbl
exportation	,ekspɔ:'teiʃn
exporter	eks'pɔ:tə
expose	iks'pouz
exposition	,ekspə'ziʃn
expositive	eks'pɔzitiv
expositor	eks'pɔzitə
expository	eks'pɔzitiv
expostulate	iks'pɔstjuleit
expostulation	iks,pɔstju'leiʃn
exposure	iks'pouʤə
exposé	eks'pouzei
expound	iks'paund
expounder	iks'paundə
express	iks'pres
expressible	iks'presəbl
expression	iks'preʃn
expressional	iks'preʃənl
expressionism	iks'preʃnizm
expressionist	iks'preʃnist
expressionless	iks'preʃnlis
expressive	iks'presiv
expressiveness	iks'presivnis
expressly	iks'presli
expressman	iks'presmæn
exprobration	,eksprə'breiʃn
expropriate	eks'prouprieit
expropriation	eks,proupri'eiʃn
expulsion	iks'pʌlʃn
expulsive	iks'pʌlsiv
expunction	eks'pʌɳkʃn
expunge	eks'pʌndʤ
expurgate	'ekspə:geit
expurgation	,ekspə:'geiʃn
expurgator	'ekspə:geitə
expurgatorial	eks,pə:gə'rɔ:riəl
expurgatory	eks,pə:gə'rɔ:riəl
exquisite	'ekskwizit
exquisiteness	'ekskwizitnis
exsanguinate	ek'sæɳgwineit
exsanguination	ek,sæɳgwi'neiʃn
exsanguine	ek'sæɳgwin
exscind	ek'sind
exsect	ek'sekt
exsection	ek'sektʃn
exsert	ek'sə:t
exserted	ek'sə:tid
exsiccate	'eksikeit
exsiccation	,eksi'keiʃn
exsiccator	'eksikeitə
extant	eks'tænt
extasy	'ekstəsi
extemporaneity	eks,tempə'reinjəsnis
extemporaneous	eks,tempə'reinjəs
extemporaneousness	eks,tempə'reinjəsnis
extemporary	eks,tempə'reinjəs
extempore	eks'tempəri
extemporization	eks,tempərai'zeiʃn
extemporize	iks'tempəraiz
extend	iks'tend
extendibility	iks,tensə'biliti
extendible	iks'tensəbl
extensible	iks'tensəbl
extensile	eks'tensail
extension	iks'tenʃn
extensive	iks'tensiv
extensiveness	iks'tensivnis
extensometer	,eksten'sɔmitə
extensor	iks'tensə
extenuate	eks'tenjueit
extenuation	eks,tenju'eiʃn
extenuatory	iks'tenjuətəri
exterior	eks'tiəriə
exteriorise	eks'tiəriəraiz
exteriority	eks,tiəri'ɔriti
exteriorization	eks,tiərai'zeiʃn
exteriorize	eks'tiəriəraiz
exterminate	eks'tə:mineit
extermination	eks,tə:mi'neiʃn
exterminative	eks'tə:minətəri
exterminator	eks'tə:mineitə
exterminatory	eks'tə:minətəri
external	eks'tə:nl
externalise	eks'tə:nəlaiz
externality	,ekstə:'næliti
externalization	eks,tə:nəlai'zeiʃn
externalize	eks'tə:nəlaiz
externals	eks'tə:nlz
exterritorial	'ekstrə'teri'tɔ:riəl
exterritoriality	'ekstrə,teritɔ:ri'æliti
extinct	iks'tiɳkt
extinction	iks'tiɳkʃn
extinctive	iks'tiɳktiv
extinguish	iks'tiɳgwiʃ
extinguishable	iks'tiɳgwiʃəbl
extinguisher	iks'tiɳgwiʃə
extinguishment	iks'tiɳgwiʃmənt
extirpate	'ekstə:peit
extirpation	,ekstə:'peiʃn
extirpator	'ekstə:peitə
extol	iks'tɔl
extoller	iks'tɔlə
extolment	iks'tɔlmənt
extort	iks'tɔ:t
extortion	iks'tɔ:ʃn
extortionary	iks'tɔ:ʃnit
extortionate	iks'tɔ:ʃnit
extortioner	iks'tɔ:ʃnə
extortionist	iks'tɔ:ʃnə
extortive	iks'tɔ:tiv
extra	'ekstrə
extraction	iks'trækʃn
extractive	iks'træktiv
extractor	iks'træktə
extracurricular	,ekstrəkə'rikjulə
extraditable	'ekstrədaitəbl
extradite	'ekstrədait
extradition	,ekstrə'diʃn
extrados	eks'treidɔs
extrajudicial	'ekstrədʤu:'diʃəl
extramundane	'ekstrə'mʌndein
extramural	'ekstrə'mʌndein
extraneous	eks'treinjəs
extraneousness	eks'treinjəsnis
extraordinaries	iks'trɔ:dnriz
